Carimbo de data/hora,Qual palavra melhor te descreve?,Qual animal você se identifica?,Emprego dos seus sonhos?,Que tipo de amigo você é?,Uma diva pop que você se identifica:,Qual é o seu signo?
28/01/2020 11:22:06,Racional,Pombo,Desenhista,Conselheiro,Britney Spears,Sagitário
28/01/2020 11:33:08,Racional,Coruja,Desenhista,Tímido,Ariana Grande,Gêmeos
28/01/2020 11:37:16,Sociável,Coruja,Estilista,Leal,Rihanna,Câncer
28/01/2020 11:37:52,Paciente,Lobo,Piloto,Compreensível,Billie Eilish,Áries
28/01/2020 11:43:26,Reservado,Tartaruga,Desenhista,Responsável,Beyoncé,Virgem
28/01/2020 11:44:19,Racional,Tigre,Escritor,Conselheiro,Rihanna,Escorpião
28/01/2020 11:44:56,Confiável,Coruja,Piloto,Sociável,Billie Eilish,Libra
28/01/2020 11:45:55,Racional,Tigre,Designer,Tímido,Rihanna,Touro
28/01/2020 11:46:35,Sociável,Tartaruga,Escritor,Conselheiro,Rihanna,Câncer
28/01/2020 11:47:04,Reservado,Coruja,Piloto,Tímido,Taylor Swift,Câncer
28/01/2020 11:49:50,Carinhoso,Lobo,Designer,Compreensível,Taylor Swift,Gêmeos
28/01/2020 11:49:54,Sociável,Tigre,Personal Trainer,Carinhoso,Anitta,Câncer
28/01/2020 11:50:42,Racional,Lobo,Ator/Atriz,Leal,Ariana Grande,Leão
28/01/2020 12:01:22,Racional,Coruja,Diretor de cinema,Compreensível,Britney Spears,Capricórnio
28/01/2020 12:25:02,Confiável,Coruja,Escritor,Responsável,Beyoncé,Libra
28/01/2020 12:43:15,Racional,Cavalo,Piloto,Leal,Taylor Swift,Aquário
28/01/2020 12:49:25,Carinhoso,Ovelha,Ator/Atriz,Compreensível,Taylor Swift,Gêmeos
28/01/2020 12:49:30,Racional,Coruja,Piloto,Conselheiro,Taylor Swift,Gêmeos
28/01/2020 12:54:18,Racional,Pombo,Escritor,Conselheiro,Billie Eilish,Virgem
28/01/2020 12:54:36,Aventureiro,Tigre,Ator/Atriz,Extrovertido,Rihanna,Gêmeos
28/01/2020 13:10:50,Confiável,Tigre,Escritor,Leal,Beyoncé,Touro
28/01/2020 13:24:10,Reservado,Tigre,Designer,Compreensível,Britney Spears,Aquário
28/01/2020 13:31:26,Sociável,Lobo,Músico,Sociável,Beyoncé,Aquário
28/01/2020 13:32:32,Reservado,Tartaruga,Escritor,Conselheiro,Taylor Swift,Gêmeos
28/01/2020 13:36:10,Reservado,Cavalo,Escritor,Compreensível,Ariana Grande,Aquário
28/01/2020 13:48:08,Racional,Coruja,Músico,Leal,Billie Eilish,Capricórnio
28/01/2020 14:04:32,Racional,Coruja,Fotógrafo,Responsável,Beyoncé,Touro
28/01/2020 14:14:26,Apaixonado,Cavalo,Diretor de cinema,Otimista,Beyoncé,Touro
28/01/2020 14:14:50,Apaixonado,Lobo,Designer,Extrovertido,Billie Eilish,Câncer
28/01/2020 14:25:51,Aventureiro,Tigre,Ator/Atriz,Leal,Madonna,Libra
28/01/2020 14:26:55,Aventureiro,Elefante,Piloto,Extrovertido,Pabllo Vittar,Escorpião
28/01/2020 14:46:40,Carinhoso,Tigre,Desenhista,Conselheiro,Rihanna,Escorpião
28/01/2020 15:00:13,Racional,Tigre,Diretor de cinema,Otimista,Anitta,Libra
28/01/2020 15:01:12,Confiável,Lobo,Desenhista,Carinhoso,Rihanna,Sagitário
28/01/2020 15:06:50,Reservado,Lobo,Escritor,Tímido,Taylor Swift,Aquário
28/01/2020 15:09:07,Reservado,Cavalo,Piloto,Responsável,Beyoncé,Peixes
28/01/2020 15:10:22,Reservado,Tigre,Piloto,Leal,Britney Spears,Capricórnio
28/01/2020 16:06:16,Racional,Tigre,Escritor,Conselheiro,Rihanna,Sagitário
28/01/2020 16:30:06,Confiável,Elefante,Diretor de cinema,Leal,Taylor Swift,Touro
28/01/2020 17:13:15,Confiável,Coruja,Músico,Tímido,Billie Eilish,Leão
28/01/2020 17:20:09,Racional,Cavalo,Piloto,Conselheiro,Madonna,Peixes
28/01/2020 17:27:35,Confiável,Cavalo,Ator/Atriz,Leal,Beyoncé,Áries
28/01/2020 19:04:52,Reservado,Pombo,Designer,Responsável,Ariana Grande,Touro
28/01/2020 19:15:42,Confiável,Cavalo,Estilista,Leal,Madonna,Áries
28/01/2020 19:19:23,Carinhoso,Lobo,Ator/Atriz,Leal,Taylor Swift,Câncer
28/01/2020 19:28:54,Paciente,Tigre,Músico,Tímido,Beyoncé,Libra
28/01/2020 20:31:25,Aventureiro,Lobo,Piloto,Conselheiro,Billie Eilish,Áries
28/01/2020 20:49:56,Confiável,Lobo,Fotógrafo,Conselheiro,Ariana Grande,Câncer
28/01/2020 21:09:55,Reservado,Lobo,Músico,Pacificador,Taylor Swift,Peixes
28/01/2020 22:24:58,Sociável,Lobo,Fotógrafo,Conselheiro,Billie Eilish,Libra
28/01/2020 23:09:10,Reservado,Tartaruga,Escritor,Otimista,Taylor Swift,Câncer
28/01/2020 23:20:26,Aventureiro,Cavalo,Diretor de cinema,Leal,Taylor Swift,Peixes
28/01/2020 23:56:04,Racional,Tartaruga,Escritor,Leal,Beyoncé,Escorpião
29/01/2020 00:06:06,Reservado,Tigre,Piloto,Responsável,Rihanna,Gêmeos
29/01/2020 04:56:27,Reservado,Pombo,Músico,Compreensível,Beyoncé,Libra
29/01/2020 06:09:47,Carinhoso,Lobo,Escritor,Conselheiro,Beyoncé,Gêmeos
29/01/2020 07:10:59,Reservado,Coruja,Músico,Otimista,Madonna,Touro
29/01/2020 07:34:35,Reservado,Ovelha,Fotógrafo,Leal,Madonna,Câncer
29/01/2020 07:58:40,Sociável,Lobo,Diretor de cinema,Conselheiro,Madonna,Touro
29/01/2020 09:06:57,Generoso,Tigre,Designer,Leal,Madonna,Leão
29/01/2020 09:29:23,Reservado,Coruja,Músico,Conselheiro,Beyoncé,Sagitário
29/01/2020 09:52:38,Racional,Lobo,Escritor,Sociável,Ariana Grande,Aquário
29/01/2020 09:59:05,Reservado,Foca,Fotógrafo,Pacificador,Rihanna,Sagitário
29/01/2020 10:13:59,Generoso,Elefante,Fotógrafo,Extrovertido,Rihanna,Gêmeos
29/01/2020 10:14:32,Reservado,Lobo,Músico,Conselheiro,Ariana Grande,Escorpião
29/01/2020 10:25:52,Confiável,Coruja,Designer,Leal,Rihanna,Escorpião
29/01/2020 11:17:55,Reservado,Lobo,Músico,Responsável,Beyoncé,Capricórnio
29/01/2020 11:22:51,Sociável,Tigre,Estilista,Extrovertido,Beyoncé,Escorpião
29/01/2020 11:49:18,Apaixonado,Cisne,Escritor,Conselheiro,Taylor Swift,Aquário
29/01/2020 13:02:11,Racional,Coruja,Estilista,Responsável,Rihanna,Gêmeos
29/01/2020 14:27:29,Reservado,Cavalo,Escritor,Conselheiro,Rihanna,Capricórnio
29/01/2020 14:48:04,Racional,Cavalo,Personal Trainer,Responsável,Madonna,Touro
29/01/2020 18:59:18,Racional,Coruja,Escritor,Conselheiro,Madonna,Áries
30/01/2020 08:04:11,Confiável,Coruja,Músico,Conselheiro,Britney Spears,Peixes
30/01/2020 14:28:58,Sociável,Elefante,Músico,Extrovertido,Rihanna,Escorpião
31/01/2020 20:13:40,Apaixonado,Ovelha,Diretor de cinema,Carinhoso,Pabllo Vittar,Capricórnio
01/02/2020 08:55:42,Confiável,Coruja,Escritor,Otimista,Taylor Swift,Capricórnio
01/02/2020 11:31:57,Carinhoso,Tartaruga,Estilista,Extrovertido,Anitta,Libra
01/02/2020 17:15:50,Carinhoso,Tartaruga,Escritor,Conselheiro,Beyoncé,Aquário
02/02/2020 12:14:53,Reservado,Lobo,Músico,Otimista,Britney Spears,Capricórnio
03/02/2020 10:49:45,Racional,Coruja,Personal Trainer,Leal,Beyoncé,Leão